Zona,Precios,Direcciones,Dimensiones
Norte,"520,000",FERNADO VALENZUELA 28 NUEVO NOGALES SONORA,149 m² tot.4 rec.3 baños1 estac.
Norte,"574,000",ISLA DEL PERUANO LOMAS MIRAMAR GUAYMAS SONORA,400 m² tot.4 rec.3 baños4 estac.
Norte,"933,000","NUEVA GALICIA, NUEVO NOGALES, NOGALES, SONORA",143 m² tot.4 rec.2 baños
Norte,"850,000","FERNANDO VALENZUELA, NUEVO NOGALES, NOGALES, SONORA",154 m² tot.4 rec.3 baños1 estac.
Norte,"7,800,000",SONORA 11,210 m² tot.5 rec.5 baños2 estac.
Norte,"680,000","PRIVADA SULMONA, VILLA BONITA, HERMOSILLO, SONORA",80 m² tot.3 rec.1 baño1 estac.
Norte,"380,000",SONORA,160 m² tot.3 rec.2 baños2 estac.
Norte,"710,000",SONORA CIUDAD OBREGON CASA BLANCA AV ENRAMADA 504,182 m² tot.4 rec.4 baños1 estac.
Norte,"480,000",C. GRAL. BERNARDO REYES  SAN BENITO  HERMOSILLO SONORA,230 m² tot.4 rec.3 baños2 estac.
Norte,"712,000",BUGAMBILIA 93 8 22 FRACC. BRISAS DEL VALLE NAVOJOA NAVOJOA SONORA,275 m² tot.1 rec.1 baño1 estac.
Norte,"790,000",SONORA HEROICA GUAYMAS LOMAS DE CORTES BOULEVARD LOMAS DE CORTES 419 A,250 m² tot.4 rec.2 baños3 estac.
Norte,"327,709",PICO DE ORIZABA LINDAVISTA CAJEME CAJEME C.P. 85063 SONORA,131 m² tot.3 rec.1 baño1 estac.
Norte,"712,000",BUGAMBILIA 93 8 22 FRACC. BRISAS DEL VALLE NAVOJOA NAVOJOA SONORA,276 m² tot.2 rec.1 baño1 estac.
Norte,"410,000",Av. De los Constructores # Colonia: Rancho Grande Alcaldía / Mpio: Hermosillo Ciudad: Sonora,105 m² tot.3 rec.2 baños1 estac.
Norte,"561,000","VERSALLES  OTE. L-19  M-42, VILLAFONTANA, SONORA",122 m² tot.1 rec.1 baño1 estac.
Norte,"870,000",AV MARIANO MATAMOROS #917 COL. CONSTITUCION NAVAJOA SONORA,670 m² tot.5 rec.4 baños4 estac.
Norte,"330,000",Dirección: AGUA CLARA 58 Colonia: MANANTIALES Alcaldía / Mpio: HERMOSILLO Ciudad: SONORA,245 m² tot.4 rec.3 baños2 estac.
Norte,"650,000",SAN PEDRO#16 SAN ANGEL HERMOSILLO SONORA,112 m² tot.3 rec.2 baños1 estac.
Norte,"650,000","Av. Enramada 504, Casa Blanca",270 m² tot.4 rec.3 baños2 estac.
Norte,"1,630,240","ALLENDE PTE COL DEL VALLE CD OBREGON SONORA, Ciudad Obregón Centro, Cajeme",220 m² tot.3 rec.1 baño2 estac.
Norte,"5,800,000",Parque sonora,181 m² tot.3 rec.4 baños2 estac.
Norte,"5,700,000",PARQUE SONORA,180 m² tot.4 rec.4 baños2 estac.
Norte,"620,000","AV. ENRAMADA CASA BLANCA, CP. 85134, CDAD. OBREGÓN, SONORA",230 m² tot.5 rec.3 baños2 estac.
Norte,"913,000",BUGAMBILIA 99 5 22 FRACC. BRISAS DEL VALLE NAVOJOA NAVOJOA SONORA,275 m² tot.2 rec.1 baño1 estac.
Norte,"540,000",Villa Sahuaro,133 m² tot.2 rec.1 baño1 estac.
Norte,"1,650,000","Manila 7, Villas Del Mar, Bahia de kino, hermosillo  sonora",120 m² tot.2 rec.1 baño1 estac.
Norte,"5,790,000","Casa en Venta Ubicada en Country Club 229, San Carlos, Sonora.",317 m² tot.2 rec.2 baños4 estac.
Norte,"486,080","Av De Las Fuentes 519, Casa Blanca, 85134 Cdad. Obregón, Son.",146 m² tot.2 rec.1 baño2 estac.
Norte,"490,000",Turín,200 m² tot.3 rec.2 baños1 estac.
Norte,"430,000",STA. ROSA,220 m² tot.4 rec.3 baños2 estac.
Norte,"360,000",SAN RAMÓN,100 m² tot.3 rec.2 baños1 estac.
Norte,"1,238,374",SEBASTIAN LERDO DE TEJADA 430,220 m² tot.4 rec.3 baños2 estac.
Norte,"430,000",SANTA ROSA 267,210 m² tot.4 rec.3 baños2 estac.
Norte,"710,000",AV ENRAMADA,182 m² tot.4 rec.4 baños1 estac.
Norte,"758,000",AV JAVALI,60 m² tot.2 rec.1 baño1 estac.
Norte,"790,000",BLVR LOMAS DE CORTÉS 419A LOMAS DE CORTES GUAYMAS,250 m² tot.4 rec.2 baños3 estac.
Norte,"480,000",general bernardo reyes,230 m² tot.4 rec.3 baños2 estac.
Norte,"480,000",CALLE SANTA ROSA 267,260 m² tot.4 rec.2 baños2 estac.
Norte,"720,000",AV. MISION DE OPOSURA,320 m² tot.4 rec.2 baños2 estac.
Norte,"750,000",OLGA CAMOU,341 m² tot.4 rec.2 baños2 estac.
Norte,"790,000",Av. Mariano Matamoros Pte,390 m² tot.4 rec.2 baños2 estac.
Norte,"750,000",GRAL BERNANDO REYES,256 m² tot.3 rec.2 baños2 estac.
Centro,"5,221,700","Fuente de las Estrellas 49, Col Fuentes del Pedregal",35 un.2 a 4 rec.100 a 187 m² tot.
Centro,"8,950,000",Residencial Lomas de San Ángel,5 un.3 rec.
Centro,"19,500,000",Cerrada Tlaltenango 7,415 m² tot.4 rec.3 baños6 estac.
Centro,"19,200,000",Sierra Mazapil al 100,500 m² tot.4 rec.4 baños7 estac.
Centro,"3,950,000",ABADEJOS,311 m² tot.3 rec.1 baño3 estac.
Centro,"2,675,000",San Buenaventura S/N,825 m² tot.3 rec.3 baños6 estac.
Centro,"8,950,000",Abasolo 53,247 m² tot.3 rec.2 baños2 estac.
Centro,"13,200,000",Colima 237,420 m² tot.3 rec.3 baños3 estac.
Centro,"29,500,000",Bosque de Duraznos 64,462 m² tot.4 rec.4 baños3 estac.
Centro,"17,000,000","Sur 69 234, Código Postal 09450",124 m² tot.4 rec.2 baños2 estac.
Centro,"22,000,000",ESCOLLO,669 m² tot.4 rec.3 baños2 estac.
Centro,"7,995,000",Thiers 162,368 m² tot.
Centro,"8,700,000",Fuente del Cesped,241 m² tot.3 rec.2 baños2 estac.
Centro,"28,750,000",Lluvia,257 m² tot.6 rec.6 baños2 estac.
Centro,"12,990,000",TERCERA PRIVADA DE TANTOCO,238 m² tot.3 rec.2 baños4 estac.
Centro,"21,000,000",Sierra Amatepec 320,400 m² tot.4 rec.3 baños
Centro,"10,900,000",Bosque DE Manzanos al 100,265 m² tot.3 rec.3 baños2 estac.
Centro,"29,800,000",Bosque de Amates,630 m² tot.3 rec.3 baños4 estac.
Centro,"23,500,000",Montaña,650 m² tot.3 rec.3 baños6 estac.
Centro,"39,890,000",Paseo de la Reforma,600 m² tot.3 rec.4 baños4 estac.
Centro,"34,950,000",Llanura 227,783 m² tot.4 rec.4 baños4 estac.
Centro,"39,950,000",Bosque de Tabachines,739 m² tot.3 rec.3 baños6 estac.
Centro,"15,390,000",LA LOMA,360 m² tot.3 rec.3 baños4 estac.
Centro,"43,000,000",ESPUELAS,1300 m² tot.4 rec.4 baños4 estac.
Centro,"7,500,000",BOULEVARD DE LA LUZ,99 m² tot.2 rec.2 baños2 estac.
Centro,"21,997,000",Bosques de Reforma 733,570 m² tot.3 rec.3 baños4 estac.
Centro,"33,000,000","Ajusco 25  , Florida , 01030 Álvaro Obregón, Ciudad de México, México",1333 m² tot.6 rec.6 baños19 estac.
Centro,"3,000,000",Avenida Patriotismo,700 m² tot.3 rec.5 baños8 estac.
Centro,"30,000,000",Casa en Venta en Lomas de Chapultepec,343 m² tot.4 rec.3 baños5 estac.
Centro,"19,690,000",CARRASCO,160 m² tot.4 rec.3 baños
Centro,"36,000,000",Encantada,320 m² tot.3 rec.3 baños3 estac.
Centro,"8,995,000",FUENTE DEL TESORO,250 m² tot.3 rec.2 baños3 estac.
Centro,"65,000,000",Calzada de las Águilas 1740,1080 m² tot.12 rec.12 baños10 estac.
Centro,"17,124,000",JALAPA 141,525 m² tot.4 rec.3 baños2 estac.
Centro,"9,900,000",Farallón,386 m² tot.3 rec.3 baños3 estac.
Centro,"28,000,000",Benito Juarez S/N,180 m² tot.5 rec.2 baños2 estac.
Centro,"33,900,000",Prolongación Av. Juarez,1257 m² tot.5 rec.6 baños12 estac.
Centro,"15,500,000",Cedral del Río s/n,573 m² tot.3 rec.3 baños4 estac.
Centro,"9,780,000",San Buenaventura S/N,344 m² tot.4 rec.5 baños4 estac.
Centro,"9,400,000",Santa Cruz 135,1150 m² tot.3 rec.3 baños5 estac.
